store_id,transaction_id,timestamp,basket_value_inr
STORE_BLR_002,TXN_001358,2026-04-10T16:55:36Z,274.36
STORE_BLR_002,TXN_001399,2026-04-10T19:21:55Z,99.0
STORE_BLR_002,TXN_001353,2026-04-10T16:45:32Z,553.17
STORE_BLR_002,TXN_001384,2026-04-10T18:41:51Z,1799.0
STORE_BLR_002,TXN_001393,2026-04-10T19:02:09Z,466.67
STORE_BLR_002,TXN_001333,2026-04-10T13:41:55Z,49.5
STORE_BLR_002,TXN_001408,2026-04-10T19:54:02Z,198.0
STORE_BLR_002,TXN_001324,2026-04-10T12:42:18Z,1.0
STORE_BLR_002,TXN_001369,2026-04-10T17:55:02Z,215.67
STORE_BLR_002,TXN_001321,2026-04-10T12:15:05Z,302.33
STORE_BLR_002,TXN_001336,2026-04-10T13:55:16Z,0.0
STORE_BLR_002,TXN_001418,2026-04-10T20:25:04Z,224.31
STORE_BLR_002,TXN_001401,2026-04-10T19:33:52Z,249.0
STORE_BLR_002,TXN_001337,2026-04-10T14:23:21Z,225.0
STORE_BLR_002,TXN_001348,2026-04-10T16:08:03Z,799.0
STORE_BLR_002,TXN_001403,2026-04-10T19:41:29Z,450.0
STORE_BLR_002,TXN_001374,2026-04-10T18:07:14Z,495.0
STORE_BLR_002,TXN_001347,2026-04-10T15:50:44Z,400.0
STORE_BLR_002,TXN_001346,2026-04-10T15:46:39Z,599.0
STORE_BLR_002,TXN_001366,2026-04-10T17:44:44Z,299.0
STORE_BLR_002,TXN_001340,2026-04-10T15:02:20Z,314.8
STORE_BLR_002,TXN_001372,2026-04-10T18:00:18Z,149.0
STORE_BLR_002,TXN_001438,2026-04-10T21:16:15Z,269.1
STORE_BLR_002,TXN_001443,2026-04-10T21:39:55Z,427.5
